ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP;COORPIN
293200;Interior;Uauá;45ª CIPM - Curaçá;Norte;Sertão do São Francisco;17ª COORPIN - JUAZEIRO
293210;Interior;Ubaíra;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá;4ª COORPIN - SANTO ANTONIO DE JESUS
293220;Interior;Ubaitaba;61ª CIPM - Ubaitaba;Sul;Litoral Sul;7ª COORPIN - ILHEUS
293230;Interior;Ubatã;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas;7ª COORPIN - ILHEUS
293240;Interior;Uibaí;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
293245;Interior;Umburanas;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina;16ª COORPIN - JACOBINA
293250;Interior;Una;71ª CIPM - Canavieiras;Sul;Litoral Sul;7ª COORPIN - ILHEUS
293260;Interior;Urandi;17º BPM - Guanambi;Sudoeste;Sertão Produtivo;22ª COORPIN - GUANAMBI
293270;Interior;Uruçuca;72ª CIPM - Itacaré;Sul;Litoral Sul;7ª COORPIN - ILHEUS
293280;Interior;Utinga;42ª CIPM - Lençóis;Chapada;Chapada Diamantina;12ª COORPIN - ITABERABA
293290;Interior;Valença;33ª CIPM - Valença;Recôncavo;Baixo Sul;5ª COORPIN - VALENÇA
293300;Interior;Valente;16º BPM - Serrinha;Nordeste;Sisal;15ª COORPIN - SERRINHA
293305;Interior;Várzea Da Roça;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe;16ª COORPIN - JACOBINA
293310;Interior;Várzea Do Poço;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe;16ª COORPIN - JACOBINA
293315;Interior;Várzea Nova;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina;16ª COORPIN - JACOBINA
293317;Interior;Varzedo;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo;4ª COORPIN - SANTO ANTONIO DE JESUS
293320;RMS;Vera Cruz;23º BPM - Vera Cruz;Recôncavo;Recôncavo;DEPOM - 24ª DT Vera Cruz
293325;Interior;Vereda;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul;8ª COORPIN - TEIXEIRA DE FREITAS
293330;Interior;Vitória Da Conquista;77ª, 78ª e 92ª CIPM - Vitória da Conquista;Sudoeste;Sudoeste Baiano;10ª COORPIN - VITORIA DA CONQUISTA
293340;Interior;Wagner;42ª CIPM - Lençóis;Chapada;Chapada Diamantina;12ª COORPIN - ITABERABA
293345;Interior;Wanderley;84ª CIPM - Barreiras;Oeste;Bacia do Rio Grande;11ª COORPIN - BARREIRAS
293350;Interior;Wenceslau Guimarães;60ª CIPM - Gandu;Recôncavo;Baixo Sul;5ª COORPIN - VALENÇA
293360;Interior;Xique-Xique;7º BPM - Irecê;Meio-Oeste;Irecê;14ª COORPIN - IRECE
